"Referência","Quantidade de pessoas do sexo masculino com idade entre 0 e 3 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 4 e 6 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 7 e 15 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 16 e 17 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 18 e 24 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 25 e 34 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 35 e 39 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 40 e 44 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 45 e 49 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 50 e 54 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 55 e 59 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade entre 60 e 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo masculino com idade acima de 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único"
"02/2024","97416","81901","207150","34908","60160","63217","31651","32432","29415","27850","27125","21692","6661"
"03/2024","96375","81604","206619","34612","59199","62258","31170","31984","29019","27458","26772","21084","5871"
"04/2024","95674","81960","207659","34909","59516","62062","31253","31901","29008","27333","26634","21011","6095"
"05/2024","95312","81751","207602","34847","59565","62304","31314","31961","29210","27444","26882","21251","6387"
"06/2024","95267","81918","208738","34941","59879","62440","31387","32047","29193","27467","26904","21314","6676"
"07/2024","96884","81587","208528","34532","58398","61985","31207","31912","28933","27318","26801","21254","6062"
"08/2024","95706","80714","206925","34161","57755","61201","30881","31513","28622","27075","26642","21211","6224"
"09/2024","94311","80043","205579","33869","56969","60354","30487","31148","28279","26828","26381","21129","6434"
"10/2024","95990","80473","206933","33951","56186","60385","30542","31106","28268","26895","26301","20969","6022"
"11/2024","94903","80282","206550","33937","56039","60142","30427","30930","28226","26877","26252","21107","6222"
"12/2024","94888","80514","206403","33911","56008","60470","30682","30932","28305","26941","26358","21287","6563"
"01/2025","93191","79873","204780","33628","54314","58524","29891","29976","27597","26242","25588","20596","6013"
"02/2025","92131","80187","205425","33856","54913","58637","29943","30099","27675","26398","25641","20830","6283"
"03/2025","92666","80691","207080","34077","54611","58431","29807","29979","27604","26294","25515","20702","5950"
"04/2025","91528","80653","206741","34034","54446","58143","29639","29813","27513","26160","25372","20687","6057"
"06/2025","88672","80378","207306","34353","54452","56717","29259","29411","27430","25897","25197","20792","6688"
"07/2025","85419","75973","194709","31700","49347","53322","27361","27566","25823","24423","23845","19378","5121"
"08/2025","85008","74463","190703","31030","47467","52183","26900","26953","25330","23969","23457","19073","5048"
"09/2025","84258","73985","189266","30831","46361","51365","26624","26598","25039","23598","23021","18738","4742"
"10/2025","82593","73327","187762","30645","45396","50255","26251","26351","24708","23221","22720","18455","4749"
"11/2025","80567","71782","183374","29991","43773","48843","25525","25739","24140","22691","22231","18021","4368"
"12/2025","85979","73535","186753","30535","44111","49875","25832","26083","24386","22898","22287","18128","4626"
"01/2026","84782","74010","188713","31061","44847","49779","25796","26102","24407","22857","22136","17916","4705"
"02/2026","83627","74508","189871","31434","45218","49836","25868","26269","24439","22902","22160","18001","4884"
"03/2026","82686","73907","188148","31291","44565","49292","25748","26045","24451","22901","22116","17963","5012"
"04/2026","83337","74422","190041","31514","44907","49848","26115","26416","24800","23339","22506","18287","5365"
"05/2026","84845","75134","192000","31776","45241","50266","26369","26662","24888","23433","22552","18225","5113"
"06/2026","85252","75562","194161","32229","46066","51019","26799","27110","25339","24023","23108","18738","5460"
"07/2026","84404","74604","191662","31618","45269","50664","26502","26830","25228","23923","23117","18824","5302"
"08/2026","84051","74595","191476","31802","45187","50530","26468","26779","25267","23854","23116","18811","5293"
