Data,Familias Beneficiarias BS em pobreza,Familias Beneficiarias BS de baixa renda,Familias Beneficiarias BS renda per capita maior meio salario minimo,Beneficiarias BF feminino 0 a 3 anos,Beneficiarias BF feminino 4 a 6 anos,Beneficiarias BF feminino 7 a 15 anos,Beneficiarias BF feminino 16 a 17 anos,Beneficiarias BF feminino 18 a 24 anos,Beneficiarias BF feminino 25 a 34 anos,Beneficiarias BF feminino 35 a 39 anos,Beneficiarias BF feminino 40 a 44 anos,Beneficiarias BF feminino 45 a 49 anos,Beneficiarias BF feminino 50 a 54 anos,Beneficiarias BF feminino 55 a 59 anos,Beneficiarias BF feminino 60 a 64 anos,Beneficiarias BF feminino acima de 64 anos,Beneficiarias BF masculino 0 a 3 anos,Beneficiarias BF masculino 4 a 6 anos,Beneficiarias BF masculino 7 a 15 anos,Beneficiarias BF masculino 16 a 17 anos,Beneficiarias BF masculino 18 a 24 anos,Beneficiarias BF masculino 25 a 34 anos,Beneficiarias BF masculino 35 a 39 anos,Beneficiarias BF masculino 40 a 44 anos,Beneficiarias BF masculino 45 a 49 anos,Beneficiarias BF masculino 50 a 54 anos,Beneficiarias BF masculino 55 a 59 anos,Beneficiarias BF masculino 60 a 64 anos,Beneficiarias BF masculino acima de 64 anos,Quantidade de Benefícios de Renda de Cidadania (BRC),Quantidade de Benefícios Complementares (BCO),Quantidade de Benefícios Primeira Infância (BPI) PBF,Quantidade de Benefícios Variáveis Familiares Gestante (BVG),Quantidade de Benefícios Variáveis Familiares Nutriz (BVN),Quantidade de Benefícios Variáveis Familiares Criança (BV),Quantidade de Benefícios Variáveis Familiares Adolescente (BVA),Quantidade de Benefícios Variáveis Familiares Criança (BV) e Adolescente (BVA) somados,Quantidade de Benefícios Variáveis Familiares,Quantidade de Benefícios Extraordinários de Transição (BET),Quantidade de Famílias com suspensão parcial do benefício pelo Seguro Defeso
05/2025,1228398.0,429183.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1657578.0,544439.0,322082.0,22437.0,9996.0,407204.0,80067.0,487271.0,519704.0,4255.0,
05/2026,1196182.0,330748.0,7.0,80948.0,71349.0,184999.0,31503.0,86101.0,176965.0,74612.0,59303.0,45209.0,35872.0,28279.0,19943.0,5486.0,84845.0,75134.0,192000.0,31776.0,45241.0,50266.0,26369.0,26662.0,24888.0,23433.0,22552.0,18225.0,5113.0,1526277.0,510141.0,304829.0,22583.0,12328.0,379165.0,73394.0,452559.0,487470.0,,
06/2015,,,,63806.0,59726.0,,,,,,,,,,,,66255.0,62479.0,,,,,,,,,,,,,,,,,,,,,,
06/2016,,,,70413.0,58125.0,,,,,,,,,,,,74399.0,60768.0,,,,,,,,,,,,,,,,,,,,,,
06/2017,,,,69624.0,55605.0,154167.0,29743.0,87121.0,121091.0,56788.0,41124.0,29397.0,21593.0,14186.0,8118.0,3870.0,73864.0,57769.0,160284.0,30846.0,57634.0,51127.0,28112.0,24686.0,20520.0,16439.0,12675.0,8394.0,4335.0,,,,,,,,,,,
06/2018,,,,70500.0,53758.0,141653.0,26678.0,85642.0,118806.0,52771.0,39266.0,27783.0,21864.0,15150.0,9219.0,4979.0,74516.0,56025.0,146942.0,27397.0,52952.0,49698.0,25962.0,23165.0,19327.0,16585.0,13266.0,9525.0,5022.0,,,,,,,,,,,
06/2019,,,,69139.0,54217.0,139697.0,25406.0,82655.0,120201.0,51814.0,39907.0,28793.0,23297.0,16569.0,10349.0,5284.0,72466.0,56961.0,144849.0,26002.0,50790.0,49019.0,25346.0,23215.0,19903.0,17432.0,14517.0,10665.0,5419.0,,,,,,,,,,,
06/2020,,,,65363.0,55988.0,140015.0,24427.0,81870.0,121914.0,51667.0,39959.0,29148.0,23741.0,17060.0,10854.0,4792.0,68294.0,59022.0,145448.0,24726.0,47804.0,49422.0,25249.0,23419.0,20179.0,17907.0,15122.0,11249.0,5069.0,,,,,,,,,,,
06/2021,,,,60267.0,58711.0,148245.0,26679.0,81215.0,129103.0,56327.0,43850.0,32245.0,25834.0,19610.0,12617.0,6723.0,62937.0,61957.0,154673.0,27425.0,49996.0,49830.0,25922.0,24400.0,21230.0,18941.0,16721.0,12733.0,7093.0,,,,,,,,,,,
06/2022,,,,74636.0,69218.0,177675.0,33282.0,96750.0,159287.0,69205.0,55846.0,40841.0,32857.0,25504.0,16604.0,6791.0,78501.0,72757.0,185272.0,33576.0,57033.0,57506.0,29812.0,29418.0,25852.0,23413.0,21450.0,16630.0,7030.0,,,,,,,,,,,
