"Referência","Quantidade de pessoas do sexo feminino com idade entre 0 e 3 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 4 e 6 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 7 e 15 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 16 e 17 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 18 e 24 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 25 e 34 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 35 e 39 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 40 e 44 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 45 e 49 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 50 e 54 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 55 e 59 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade entre 60 e 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino com idade acima de 64 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único"
"12/2024","91614","76341","197717","33837","101851","188247","79576","64637","49916","40085","32577","22132","5806"
"01/2025","90172","75755","196152","33461","99236","185865","78718","63479","48966","39307","31723","21540","5355"
"02/2025","89212","75972","196810","33664","99247","186503","79104","63703","49249","39502","32013","21871","5613"
"03/2025","89608","76596","198341","33880","99609","188012","79727","63864","49358","39527","31852","21702","5302"
"04/2025","88568","76474","197960","33710","98720","187508","79628","63746","49414","39505","31815","21765","5370"
"06/2025","84445","76091","198656","33785","97614","187264","80099","64273","49901","39906","32343","22309","5965"
"07/2025","81291","72097","186865","31264","91219","178220","75084","59885","46733","37475","30070","20699","4624"
"08/2025","80822","70684","183138","30659","88750","175145","73472","58299","45551","36618","29439","20519","4604"
"09/2025","80010","70110","181868","30349","87069","173559","72889","57800","45112","36132","28985","20197","4388"
"10/2025","78518","69306","180599","30049","84793","171407","72187","57214","44602","35724","28576","19929","4369"
"11/2025","76737","67900","176256","29326","82116","167740","70470","56093","43594","34951","27828","19480","4092"
"12/2025","81855","69479","179355","30481","85347","172813","72022","57371","44442","35344","27902","19574","4381"
"01/2026","80724","70162","181264","30720","85219","173500","72946","57957","44722","35361","27810","19545","4502"
"02/2026","79712","70664","182569","30969","85121","174144","73358","58323","44895","35458","27948","19650","4794"
"03/2026","79022","70021","181125","30733","84123","173030","72792","58033","44546","35286","27958","19709","5166"
"04/2026","79704","70468","182947","31086","85012","174820","73632","58730","44977","35690","28380","20120","5560"
"05/2026","80948","71349","184999","31503","86101","176965","74612","59303","45209","35872","28279","19943","5486"
"06/2026","81196","71946","187132","31926","87448","178898","75574","60152","45963","36584","28822","20499","5909"
"07/2026","80227","71014","184907","31563","86703","177335","74612","59514","45647","36493","28755","20522","5914"
"08/2026","79871","70953","184936","31667","86261","177182","74583","59567","45744","36406","28754","20549","5904"
